Time,TargetLocked,VisionDriveActive,Distance,DistanceError,AngleError,Speed,Omega
0.000806,1,0,9.479925,0.520075,-17.254028,0.000000,0.000000
0.020690,1,0,9.473957,0.526043,-17.252632,0.000000,0.000000
0.040417,1,0,9.485890,0.514110,-17.255432,0.000000,0.000000
0.060278,1,0,9.479925,0.520075,-17.254028,0.000000,0.000000
0.080148,1,0,9.485890,0.514110,-17.255432,0.000000,0.000000
0.101160,1,0,9.473957,0.526043,-17.252632,0.000000,0.000000
0.120340,1,0,9.485890,0.514110,-17.255432,0.000000,0.000000
0.140166,1,0,9.479925,0.520075,-17.254028,0.000000,0.000000
0.160334,1,0,9.479925,0.520075,-17.254028,0.000000,0.000000
0.180330,1,0,9.485890,0.514110,-17.255432,0.000000,0.000000
0.200232,1,0,9.473957,0.526043,-17.252632,0.000000,0.000000
0.220163,1,0,9.485890,0.514110,-17.255432,0.000000,0.000000
0.240120,1,0,9.479925,0.520075,-17.254028,0.000000,0.000000
0.260680,1,0,9.479925,0.520075,-17.254028,0.000000,0.000000
0.280211,1,0,9.479925,0.520075,-17.254028,0.000000,0.000000
0.300231,1,0,9.479925,0.520075,-17.254028,0.000000,0.000000
0.320213,1,0,9.473957,0.526043,-17.252632,0.000000,0.000000
0.340349,1,0,9.473957,0.526043,-17.252632,0.000000,0.000000
0.360271,1,0,9.479925,0.520075,-17.254028,0.000000,0.000000
0.380332,1,0,9.473957,0.526043,-17.252632,0.000000,0.000000
0.400130,1,0,9.479925,0.520075,-17.254028,0.000000,0.000000
0.420140,1,0,9.479925,0.520075,-17.254028,0.000000,0.000000
0.440211,1,0,9.473957,0.526043,-17.252632,0.000000,0.000000
0.460651,1,0,9.479925,0.520075,-17.254028,0.000000,0.000000
0.480207,1,0,9.479925,0.520075,-17.254028,0.000000,0.000000
0.500473,1,0,9.485890,0.514110,-17.255432,0.000000,0.000000
0.521035,1,0,9.479925,0.520075,-17.254028,0.000000,0.000000
0.540163,1,0,9.485890,0.514110,-17.255432,0.000000,0.000000
0.560147,1,0,9.485890,0.514110,-17.255432,0.000000,0.000000
0.580143,1,0,9.485890,0.514110,-17.255432,0.000000,0.000000
0.600350,1,0,9.479925,0.520075,-17.254028,0.000000,0.000000
0.620179,1,0,9.479925,0.520075,-17.254028,0.000000,0.000000
0.640181,1,0,9.485890,0.514110,-17.255432,0.000000,0.000000
0.660159,1,0,9.473957,0.526043,-17.252632,0.000000,0.000000
0.680814,1,0,9.479925,0.520075,-17.254028,0.000000,0.000000
0.700298,1,0,9.485890,0.514110,-17.255432,0.000000,0.000000
0.720239,1,0,9.479925,0.520075,-17.254028,0.000000,0.000000
0.740186,1,0,9.485890,0.514110,-17.255432,0.000000,0.000000
0.760336,1,0,9.479925,0.520075,-17.254028,0.000000,0.000000
0.780449,1,0,9.485890,0.514110,-17.255432,0.000000,0.000000
0.800458,1,0,9.479925,0.520075,-17.254028,0.000000,0.000000
0.820203,1,0,9.479925,0.520075,-17.254028,0.000000,0.000000
0.840176,1,0,9.473957,0.526043,-17.252632,0.000000,0.000000
0.860381,1,0,9.479925,0.520075,-17.254028,0.000000,0.000000
0.880947,1,0,9.479925,0.520075,-17.254028,0.000000,0.000000
0.900233,1,0,9.485890,0.514110,-17.255432,0.000000,0.000000
0.920489,1,0,9.479925,0.520075,-17.254028,0.000000,0.000000
0.940122,1,0,9.479925,0.520075,-17.254028,0.000000,0.000000
0.960156,1,0,9.479925,0.520075,-17.254028,0.000000,0.000000
0.980297,1,0,9.485890,0.514110,-17.255432,0.000000,0.000000
1.000323,1,0,9.479925,0.520075,-17.254028,0.000000,0.000000
1.020614,1,0,9.479925,0.520075,-17.254028,0.000000,0.000000
1.040110,1,0,9.479925,0.520075,-17.254028,0.000000,0.000000
1.060096,1,0,9.479925,0.520075,-17.254028,0.000000,0.000000
1.080091,1,0,9.479925,0.520075,-17.254028,0.000000,0.000000
1.100245,1,0,9.485890,0.514110,-17.255432,0.000000,0.000000
1.121134,1,0,9.485890,0.514110,-17.255432,0.000000,0.000000
1.140174,1,0,9.479925,0.520075,-17.254028,0.000000,0.000000
1.160120,1,0,9.485890,0.514110,-17.255432,0.000000,0.000000
1.180063,1,0,9.485890,0.514110,-17.255432,0.000000,0.000000
1.200105,1,0,9.485890,0.514110,-17.255432,0.000000,0.000000
1.220233,1,0,9.473957,0.526043,-17.252632,0.000000,0.000000
1.240151,1,0,9.479925,0.520075,-17.254028,0.000000,0.000000
1.260123,1,0,9.479925,0.520075,-17.254028,0.000000,0.000000
1.280114,1,0,9.479925,0.520075,-17.254028,0.000000,0.000000
1.300140,1,0,9.485890,0.514110,-17.255432,0.000000,0.000000
1.320188,1,0,9.479925,0.520075,-17.254028,0.000000,0.000000
1.340085,1,0,9.479925,0.520075,-17.254028,0.000000,0.000000
1.360115,1,0,9.479925,0.520075,-17.254028,0.000000,0.000000
1.380111,1,0,9.479925,0.520075,-17.254028,0.000000,0.000000
1.400375,1,0,9.479925,0.520075,-17.254028,0.000000,0.000000
1.420110,1,0,9.485890,0.514110,-17.255432,0.000000,0.000000
1.440355,1,0,9.485890,0.514110,-17.255432,0.000000,0.000000
1.460119,1,0,9.485890,0.514110,-17.255432,0.000000,0.000000
1.480117,1,0,9.479925,0.520075,-17.254028,0.000000,0.000000
1.500166,1,0,9.479925,0.520075,-17.254028,0.000000,0.000000
1.520143,1,0,9.479925,0.520075,-17.254028,0.000000,0.000000
1.540093,1,0,9.479925,0.520075,-17.254028,0.000000,0.000000
1.560103,1,0,9.479925,0.520075,-17.254028,0.000000,0.000000
1.580140,1,0,9.485890,0.514110,-17.255432,0.000000,0.000000
1.600119,1,0,9.485890,0.514110,-17.255432,0.000000,0.000000
1.620184,1,0,9.479925,0.520075,-17.254028,0.000000,0.000000
1.640106,1,0,9.485890,0.514110,-17.255432,0.000000,0.000000
1.660212,1,0,9.485890,0.514110,-17.255432,0.000000,0.000000
1.680102,1,0,9.479925,0.520075,-17.254028,0.000000,0.000000
1.700145,1,0,9.485890,0.514110,-17.255432,0.000000,0.000000
1.720985,1,0,9.473957,0.526043,-17.252632,0.000000,0.000000
1.740488,1,0,9.485890,0.514110,-17.255432,0.000000,0.000000
1.760463,1,0,9.479925,0.520075,-17.254028,0.000000,0.000000
1.780144,1,0,9.479925,0.520075,-17.254028,0.000000,0.000000
1.800135,1,0,9.479925,0.520075,-17.254028,0.000000,0.000000
1.820788,1,0,9.473957,0.526043,-17.252632,0.000000,0.000000
1.840335,1,0,9.479925,0.520075,-17.254028,0.000000,0.000000
1.860137,1,0,9.473957,0.526043,-17.252632,0.000000,0.000000
1.880148,1,0,9.479925,0.520075,-17.254028,0.000000,0.000000
1.900151,1,0,9.479925,0.520075,-17.254028,0.000000,0.000000
1.920620,1,0,9.479925,0.520075,-17.254028,0.000000,0.000000
1.940545,1,0,9.485890,0.514110,-17.255432,0.000000,0.000000
1.960139,1,0,9.473957,0.526043,-17.252632,0.000000,0.000000
1.980145,1,0,9.479925,0.520075,-17.254028,0.000000,0.000000
2.000395,1,0,9.479925,0.520075,-17.254028,0.000000,0.000000
2.020150,1,0,9.479925,0.520075,-17.254028,0.000000,0.000000
2.040102,1,0,9.479925,0.520075,-17.254028,0.000000,0.000000
2.060090,1,0,9.479925,0.520075,-17.254028,0.000000,0.000000
2.080106,1,0,9.485890,0.514110,-17.255432,0.000000,0.000000
2.100101,1,0,9.485890,0.514110,-17.255432,0.000000,0.000000
2.120144,1,0,9.479925,0.520075,-17.254028,0.000000,0.000000
2.140775,1,0,9.479925,0.520075,-17.254028,0.000000,0.000000
2.160661,1,0,9.479925,0.520075,-17.254028,0.000000,0.000000
2.180281,1,0,9.479925,0.520075,-17.254028,0.000000,0.000000
2.200138,1,0,9.479925,0.520075,-17.254028,0.000000,0.000000
2.220388,1,0,9.479925,0.520075,-17.254028,0.000000,0.000000
2.240150,1,0,9.485890,0.514110,-17.255432,0.000000,0.000000
2.260182,1,0,9.479925,0.520075,-17.254028,0.000000,0.000000
2.280144,1,0,9.485890,0.514110,-17.255432,0.000000,0.000000
2.300245,1,0,9.479925,0.520075,-17.254028,0.000000,0.000000
2.320098,1,0,9.488458,0.511542,-17.078209,0.000000,0.000000
2.340181,1,0,9.485890,0.514110,-17.255432,0.000000,0.000000
2.360163,1,0,9.479925,0.520075,-17.254028,0.000000,0.000000
2.380160,1,0,9.485890,0.514110,-17.255432,0.000000,0.000000
2.400146,1,0,9.485890,0.514110,-17.255432,0.000000,0.000000
2.420091,1,0,9.479925,0.520075,-17.254028,0.000000,0.000000
2.440102,1,0,9.479925,0.520075,-17.254028,0.000000,0.000000
2.460181,1,0,9.473957,0.526043,-17.252632,0.000000,0.000000
2.480100,1,0,9.479925,0.520075,-17.254028,0.000000,0.000000
2.500095,1,0,9.479925,0.520075,-17.254028,0.000000,0.000000
2.521118,1,0,9.479925,0.520075,-17.254028,0.000000,0.000000
2.540173,1,0,9.485890,0.514110,-17.255432,0.000000,0.000000
2.560152,1,0,9.485890,0.514110,-17.255432,0.000000,0.000000
2.580125,1,0,9.485890,0.514110,-17.255432,0.000000,0.000000
2.600187,1,0,9.485890,0.514110,-17.255432,0.000000,0.000000
2.620674,1,0,9.485890,0.514110,-17.255432,0.000000,0.000000
2.640234,1,0,9.479925,0.520075,-17.254028,0.000000,0.000000
2.660191,1,0,9.485890,0.514110,-17.255432,0.000000,0.000000
2.680270,1,0,9.485890,0.514110,-17.255432,0.000000,0.000000
2.700140,1,0,9.479925,0.520075,-17.254028,0.000000,0.000000
2.720130,1,0,9.479925,0.520075,-17.254028,0.000000,0.000000
2.740185,1,0,9.479925,0.520075,-17.254028,0.000000,0.000000
2.760185,1,0,9.485890,0.514110,-17.255432,0.000000,0.000000
2.780164,1,0,9.473957,0.526043,-17.252632,0.000000,0.000000
2.800193,1,0,9.479925,0.520075,-17.254028,0.000000,0.000000
2.820097,1,0,9.485890,0.514110,-17.255432,0.000000,0.000000
2.840074,1,0,9.485890,0.514110,-17.255432,0.000000,0.000000
2.860119,1,0,9.485890,0.514110,-17.255432,0.000000,0.000000
2.880141,1,0,9.473957,0.526043,-17.252632,0.000000,0.000000
2.900168,1,0,9.485890,0.514110,-17.255432,0.000000,0.000000
2.920091,1,0,9.485890,0.514110,-17.255432,0.000000,0.000000
2.940659,1,0,9.485890,0.514110,-17.255432,0.000000,0.000000
2.960173,1,0,9.479925,0.520075,-17.254028,0.000000,0.000000
2.980175,1,0,9.485890,0.514110,-17.255432,0.000000,0.000000
3.000131,1,0,9.479925,0.520075,-17.254028,0.000000,0.000000
3.020255,1,0,9.485890,0.514110,-17.255432,0.000000,0.000000
